Date,SPY
1/31/2010,108.08
2/28/2010,111.23
3/31/2010,117.45
4/30/2010,119.32
5/31/2010,109.67
6/30/2010,103.463
7/31/2010,110.761
8/31/2010,105.853
9/30/2010,114.509
10/31/2010,118.866
11/30/2010,118.846
12/31/2010,126.264
1/31/2011,129.126
2/28/2011,133.581
3/31/2011,133.04
4/30/2011,136.944
5/31/2011,135.354
6/30/2011,132.361
7/31/2011,129.888
8/31/2011,122.683
9/30/2011,113.525
10/31/2011,125.788
11/30/2011,125.497
12/31/2011,126.098
1/31/2012,131.597
2/29/2012,137.301
3/31/2012,141.281
4/30/2012,140.368
5/31/2012,131.893
6/30/2012,136.709
7/31/2012,138.581
8/31/2012,141.737
9/30/2012,144.581
10/31/2012,141.834
11/30/2012,142.694
12/31/2012,143.069
1/31/2013,150.51
2/28/2013,152.566
3/31/2013,157.466
4/30/2013,160.491
5/31/2013,164.287
6/30/2013,161.277
7/31/2013,169.634
8/31/2013,164.54
9/30/2013,168.916
10/31/2013,176.703
11/30/2013,182.025
12/31/2013,185.659
1/31/2014,178.805
2/28/2014,186.807
3/31/2014,188.096
4/30/2014,189.523
5/31/2014,193.882
6/30/2014,197.071
7/31/2014,194.362
8/31/2014,202.002
9/30/2014,198.146
10/31/2014,203.034
11/30/2014,208.577
12/31/2014,207.034
1/31/2015,200.8
2/28/2015,212.27
3/31/2015,207.932
4/30/2015,210.029
5/31/2015,212.624
6/30/2015,206.929
7/31/2015,211.638
8/31/2015,198.756
9/30/2015,192.598
10/31/2015,209.123
11/30/2015,209.762
12/31/2015,205.043
1/31/2016,194.711
2/29/2016,194.599
3/31/2016,206.664
4/30/2016,207.42
5/31/2016,211.048
6/30/2016,210.565
7/31/2016,218.48
8/31/2016,218.607
9/30/2016,217.631
10/31/2016,213.614
11/30/2016,221.572
12/31/2016,224.638
1/31/2017,228.907
2/28/2017,237.985
3/31/2017,237.191
4/30/2017,239.64
5/31/2017,242.999
6/30/2017,243.387
7/31/2017,248.386
8/31/2017,249.102
9/30/2017,252.98
10/31/2017,258.873
11/30/2017,266.805
12/31/2017,268.404
1/31/2018,283.866
2/28/2018,273.415
3/31/2018,265.204
4/30/2018,266.248
5/31/2018,272.657
6/30/2018,273.011
7/31/2018,283.158
8/31/2018,292.379
9/30/2018,292.751
10/31/2018,272.724
11/30/2018,278.274
12/31/2018,251.396
1/31/2019,271.525
2/28/2019,280.245
3/31/2019,284.565
4/30/2019,296.079
5/31/2019,277.279
6/30/2019,294.973
7/31/2019,299.212
8/31/2019,294.464
9/30/2019,298.476
10/31/2019,304.927
11/30/2019,315.984
12/31/2019,323.446
1/31/2020,323.313
2/29/2020,296.69
3/31/2020,258.442
4/30/2020,291.578
5/31/2020,305.46
6/30/2020,310.25
7/31/2020,327.739
8/31/2020,351.289
9/30/2020,336.368
10/31/2020,327.414
11/30/2020,363.248
12/31/2020,375.545
1/31/2021,371.746
2/28/2021,381.98
3/31/2021,397.361
4/30/2021,418.556
5/31/2021,421.469
6/30/2021,430.051
7/31/2021,440.259
8/31/2021,453.629
9/30/2021,430.883
10/31/2021,461.059
11/30/2021,457.857
12/31/2021,476.833
1/31/2022,452.143
2/28/2022,438.609
3/31/2022,453.385
4/30/2022,413.839
5/31/2022,414.579
6/30/2022,379.139
7/31/2022,414.091
8/31/2022,397.164
9/30/2022,358.741
10/31/2022,387.778
11/30/2022,409.436
12/31/2022,384.189
1/31/2023,408.318
2/28/2023,398.347
3/31/2023,411.242
4/30/2023,417.652
5/31/2023,419.457
6/30/2023,445.762
7/31/2023,460.07
8/31/2023,452.776
9/30/2023,429.183
10/31/2023,420.152
11/30/2023,458.512
12/31/2023,477.376
1/31/2024,485.381
2/29/2024,511.285
3/31/2024,526.05
4/30/2024,504.549
5/31/2024,529.554
6/30/2024,546.903
7/31/2024,553.545
8/31/2024,566.959
9/30/2024,576.797
10/31/2024,571.554
11/30/2024,605.087
12/31/2024,588.569
1/31/2025,604.943
2/28/2025,597.032
3/31/2025,561.614
4/30/2025,557.787
5/31/2025,592.885
6/30/2025,621.102
7/31/2025,635.026
8/31/2025,647.905
9/30/2025,669.533
10/31/2025,685.191
11/30/2025,686.85
