date,ticker,gvkey,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,debt_at,debt_ebitda,short_debt,lt_debt,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,rd_sale,adv_sale,staff_sale,accrual,ptb,divyield,cusip,volume,price,ret_1m,ret_3m,ret_6m,SMA_3,SMA_6,vol_3m,vol_6m,EMA_3,EMA_6,RVOL_3,RVOL_6,vol_ROC,vol_mom
2015-01-31,A,126554.0,15.559,0.294,14.009,14.754,14.87,25.349,25.349,1.817,17.844,0.349,0.072,0.218,0.162,0.582,0.093,0.127,0.141,0.092,0.141,0.22,0.095,0.075,0.095,0.177,0.375,0.657,0.343,0.343,0.343,0.041,0.041,0.548,0.255,1.818,0.0,0.499,0.129,0.712,5.023,0.508,0.511,0.379,1.044,1.779,2.602,3.231,126.111,0.649,7.419,6.454,0.866,1.318,0.103,0.008,0.0,-0.019,2.334,1.06,00846U10,53094165.0,37.77,-0.07743038593063001,-0.31675108538350216,-0.3266179354608665,-0.11546355084367377,-0.06004970890461329,0.09806216342625476,0.08815443616686607,-0.07936088293378826,-0.06688612500167676,1.0066839786043063,1.0873127211592146,0.08812047436363635,-0.07794792897351352
2015-02-28,A,126554.0,17.393,0.294,14.009,16.488,16.618,28.329,28.329,2.032,19.947,0.349,0.072,0.218,0.162,0.582,0.093,0.127,0.141,0.092,0.141,0.22,0.095,0.075,0.095,0.177,0.375,0.657,0.343,0.343,0.343,0.041,0.041,0.548,0.255,1.818,0.0,0.499,0.129,0.712,5.023,0.508,0.511,0.379,1.044,1.779,2.602,3.231,126.111,0.649,7.419,6.454,0.866,1.318,0.103,0.008,0.0,-0.019,2.609,0.948,00846U10,52415326.0,42.21,0.11755361397934871,-0.01240056153486202,-0.2615465360391882,-0.0006639621993274428,-0.04363685394501956,0.10389099376093772,0.11182282244040431,0.019096365522780226,-0.01418905672138377,1.019066961586032,1.0258072268039866,-0.012785566926233782,0.11979500422139218
2015-03-31,A,126554.0,18.369,0.334,21.87,40.34,40.735,68.115,33.78,3.432,28.074,0.814,0.05,0.217,0.13,0.587,0.06,0.189,0.082,0.037,0.065,0.22,0.037,0.037,0.037,0.083,0.24,0.691,0.309,0.31,0.309,0.042,0.042,0.554,0.235,2.641,0.004,0.491,0.129,0.614,4.746,0.444,0.477,0.345,0.911,1.769,2.62,3.267,196.559,0.409,4.795,2.851,0.54,0.782,0.088,0.008,0.0,-0.029,3.293,0.963,00846U10,44842596.0,41.55,-0.01563610518834413,0.014899853444064526,-0.2707967707967708,0.008162374286791526,-0.045718028929174405,0.0996467047835501,0.11103198678513751,0.0017301301672180483,-0.014602499140515302,0.8947517170147429,0.853485767606907,-0.1444754917674269,-0.01399043196469404
2015-04-30,A,126554.0,18.289,0.334,21.87,40.165,40.559,67.82,33.634,3.417,27.953,0.814,0.05,0.217,0.13,0.587,0.06,0.189,0.082,0.037,0.065,0.22,0.037,0.037,0.037,0.083,0.24,0.691,0.309,0.31,0.309,0.042,0.042,0.554,0.235,2.641,0.004,0.491,0.129,0.614,4.746,0.444,0.477,0.345,0.911,1.769,2.62,3.267,196.559,0.409,4.795,2.851,0.54,0.782,0.088,0.008,0.0,-0.029,3.279,0.967,00846U10,47253799.0,41.37,-0.0043321299638988675,0.09531374106433654,-0.25162807525325626,0.03252845960903524,-0.04146754561731927,0.07385054245393494,0.11224315905204021,-0.0013009998983404096,-0.01166810794719632,0.9809681596692078,0.936532790526673,0.05377037047542932,-0.004249681558133704
2015-05-31,A,126554.0,18.21,0.334,21.87,39.99,40.382,67.525,33.488,3.402,27.831,0.814,0.05,0.217,0.13,0.587,0.06,0.189,0.082,0.037,0.065,0.22,0.037,0.037,0.037,0.083,0.24,0.691,0.309,0.31,0.309,0.042,0.042,0.554,0.235,2.641,0.004,0.491,0.129,0.614,4.746,0.444,0.477,0.345,0.911,1.769,2.62,3.267,196.559,0.409,4.795,2.851,0.54,0.782,0.088,0.008,0.0,-0.029,3.265,0.971,00846U10,44094779.0,41.19,-0.00435097897026826,-0.024164889836531755,-0.03626579316799261,-0.008106404707503753,-0.0043851834534155976,0.006520918709786058,0.06596181752596111,-0.002825989434304335,-0.009577499668074018,0.9713135815981732,0.9107510700888166,-0.06685219107991724,-0.004226164967069595
2015-06-30,A,126554.0,16.853,0.302,20.473,31.884,32.15,50.763,35.722,3.181,36.21,0.605,0.063,0.218,0.138,0.58,0.067,0.169,0.088,0.049,0.074,0.22,0.049,0.045,0.049,0.095,0.259,0.7,0.299,0.3,0.299,0.041,0.041,0.579,0.229,2.358,0.004,0.491,0.129,0.552,4.875,0.424,0.465,0.334,0.869,1.894,2.787,3.426,170.886,0.447,5.274,3.309,0.586,0.836,0.087,0.008,0.0,-0.01,3.092,1.04,00846U10,58978468.0,38.58,-0.06336489439184267,-0.07148014440433215,-0.0576453346360527,-0.024016001108669933,-0.007926813410939204,0.034077142497268606,0.06889790504018993,-0.0330954419130735,-0.02494532673200792,1.1770031322241241,1.1769051096738394,0.33753857797994624,-0.07458067917224967
2015-07-31,A,126554.0,17.888,0.302,20.473,33.843,34.125,53.882,37.917,3.376,38.434,0.605,0.063,0.218,0.138,0.58,0.067,0.169,0.088,0.049,0.074,0.22,0.049,0.045,0.049,0.095,0.259,0.7,0.299,0.3,0.299,0.041,0.041,0.579,0.229,2.358,0.004,0.491,0.129,0.552,4.875,0.424,0.465,0.334,0.869,1.894,2.787,3.426,170.886,0.447,5.274,3.309,0.586,0.836,0.087,0.008,0.0,-0.01,3.281,0.977,00846U10,54239332.0,40.95,0.061430793157076335,-0.01015228426395931,0.0841938046068309,-0.002095026735011533,0.015216716437011854,0.062428422197486906,0.06403217901577432,0.014167675622001417,-0.00026643533512670653,1.034360996649861,1.0782299238331705,-0.08035366398462573,0.06354161643494494
2015-08-31,A,126554.0,15.861,0.302,20.473,30.008,30.258,47.776,33.62,2.994,34.079,0.605,0.063,0.218,0.138,0.58,0.067,0.169,0.088,0.049,0.074,0.22,0.049,0.045,0.049,0.095,0.259,0.7,0.299,0.3,0.299,0.041,0.041,0.579,0.229,2.358,0.004,0.491,0.129,0.552,4.875,0.424,0.465,0.334,0.869,1.894,2.787,3.426,170.886,0.447,5.274,3.309,0.586,0.836,0.087,0.008,0.0,-0.01,2.91,1.1,00846U10,56294233.0,36.31,-0.11330891330891335,-0.11847535809662524,-0.13977730395640842,-0.03841433818122656,-0.023260371444365158,0.090002160781669,0.059436821751418525,-0.04957061884345597,-0.03256428618478003,0.9962873786075116,1.104880126429292,0.037885809508126034,-0.11288824021340306
2015-09-30,A,126554.0,15.031,0.302,19.209,26.008,26.206,38.144,36.521,2.812,27.218,0.48,0.074,0.213,0.143,0.569,0.078,0.15,0.096,0.062,0.084,0.22,0.062,0.054,0.062,0.11,0.279,0.697,0.303,0.303,0.303,0.038,0.038,0.619,0.234,2.24,0.0,0.508,0.129,0.727,5.259,0.431,0.461,0.335,0.854,2.134,3.063,3.683,140.266,0.49,5.868,3.836,0.634,0.909,0.085,0.008,0.0,-0.014,2.773,1.17,00846U10,47097469.0,34.33,-0.05453043238777211,-0.11016070502851216,-0.17376654632972321,-0.03546951751320304,-0.02974275931093649,0.08891557856105271,0.0605495467535392,-0.05205052561561404,-0.03884032795706348,0.8963489194646785,0.917608052368686,-0.16336955865443625,-0.04887829414872124
2015-10-31,A,126554.0,16.533,0.302,19.209,28.606,28.824,41.956,40.17,3.093,29.937,0.48,0.074,0.213,0.143,0.569,0.078,0.15,0.096,0.062,0.084,0.22,0.062,0.054,0.062,0.11,0.279,0.697,0.303,0.303,0.303,0.038,0.038,0.619,0.234,2.24,0.0,0.508,0.129,0.727,5.259,0.431,0.461,0.335,0.854,2.134,3.063,3.683,140.266,0.49,5.868,3.836,0.634,0.909,0.085,0.008,0.0,-0.014,3.05,1.06,00846U10,52742972.0,37.76,0.0999126128750365,-0.07789987789987807,-0.08726130045926994,-0.022642244273882988,-0.01236863550444726,0.11012945660877152,0.08085158309508417,0.02393104362971123,0.0008033694235365131,1.0134130487888935,1.0096047388234728,0.11986850078928879,0.10125274562615519
