tic,datadate,gvkey,ggroup,gind,gsector,cshtrm,prccm
AAL,2014-01-31,001045,2030,203020,20,289953874.0000,33.5500
AAL,2014-02-28,001045,2030,203020,20,197505352.0000,36.9300
AAL,2014-03-31,001045,2030,203020,20,194483201.0000,36.6000
AAL,2014-04-30,001045,2030,203020,20,256252446.0000,35.0700
AAL,2014-05-31,001045,2030,203020,20,193111125.0000,40.1600
AAL,2014-06-30,001045,2030,203020,20,335274631.0000,42.9600
ABT,2014-01-31,001078,3510,351010,35,168323051.0000,36.6600
ABT,2014-02-28,001078,3510,351010,35,166789172.0000,39.7800
ABT,2014-03-31,001078,3510,351010,35,178328337.0000,38.5100
ABT,2014-04-30,001078,3510,351010,35,158410413.0000,38.7400
ABT,2014-05-31,001078,3510,351010,35,112561123.0000,40.0100
ABT,2014-06-30,001078,3510,351010,35,111909775.0000,40.9000
ABT,2014-07-31,001078,3510,351010,35,127308062.0000,42.1200
ABT,2014-08-31,001078,3510,351010,35,75057256.0000,42.2400
ABT,2014-09-30,001078,3510,351010,35,96644430.0000,41.5900
ABT,2014-10-31,001078,3510,351010,35,129684410.0000,43.5900
ABT,2014-11-30,001078,3510,351010,35,79725392.0000,44.5100
ABT,2014-12-31,001078,3510,351010,35,110550758.0000,45.0200
ABT,2015-01-31,001078,3510,351010,35,116068599.0000,44.7600
ABT,2015-02-28,001078,3510,351010,35,112821349.0000,47.3700
ABT,2015-03-31,001078,3510,351010,35,113223820.0000,46.3300
ABT,2015-04-30,001078,3510,351010,35,97933528.0000,46.4200
ABT,2015-05-31,001078,3510,351010,35,88975776.0000,48.6000
ABT,2015-06-30,001078,3510,351010,35,108271153.0000,49.0800
ABT,2015-07-31,001078,3510,351010,35,117895742.0000,50.6900
ABT,2015-08-31,001078,3510,351010,35,147737601.0000,45.2900
ABT,2015-09-30,001078,3510,351010,35,160027925.0000,40.2200
ABT,2015-10-31,001078,3510,351010,35,173147388.0000,44.8000
ABT,2015-11-30,001078,3510,351010,35,109703639.0000,44.9200
ABT,2015-12-31,001078,3510,351010,35,120149442.0000,44.9100
APD,2014-01-31,001209,1510,151010,15,24022412.0000,105.1400
APD,2014-02-28,001209,1510,151010,15,31175936.0000,121.3200
APD,2014-03-31,001209,1510,151010,15,25149817.0000,119.0400
APD,2014-04-30,001209,1510,151010,15,24123982.0000,117.5200
APD,2014-05-31,001209,1510,151010,15,14305122.0000,119.9700
APD,2014-06-30,001209,1510,151010,15,30454113.0000,128.6200
APD,2014-07-31,001209,1510,151010,15,26057922.0000,131.9500
APD,2014-08-31,001209,1510,151010,15,23161777.0000,133.2100
APD,2014-09-30,001209,1510,151010,15,46376739.0000,130.1800
APD,2014-10-31,001209,1510,151010,15,52828750.0000,134.6600
APD,2014-11-30,001209,1510,151010,15,23104608.0000,143.8300
APD,2014-12-31,001209,1510,151010,15,24175356.0000,144.2300
APD,2015-01-31,001209,1510,151010,15,25211663.0000,145.6100
APD,2015-02-28,001209,1510,151010,15,16909375.0000,156.1400
HON,2014-08-31,001300,2010,201050,20,52156003.0000,95.2300
HON,2014-09-30,001300,2010,201050,20,52967534.0000,93.1200
HON,2014-10-31,001300,2010,201050,20,94247225.0000,96.1200
HON,2014-11-30,001300,2010,201050,20,41413825.0000,99.0700
HON,2014-12-31,001300,2010,201050,20,51302497.0000,99.9200
HON,2015-01-31,001300,2010,201050,20,69800283.0000,97.7600
HON,2015-02-28,001300,2010,201050,20,45866620.0000,102.7800
