gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
12142,10104,2020-05-31,2020-11-30,2021-01-31,20.561,0.046,13.009,17.415,17.774,18.257,18.257,4.515,12.738,0.285,0.263,0.455,0.381,0.84,0.317,0.341,0.169,0.808,0.198,0.158,0.808,0.173,0.808,0.446,0.299,0.304,0.146,0.845,0.899,0.852,0.036,0.033,0.385,0.005,0.107,0.617,3.748,0.06,0.188,0.649,0.982,0.765,0.128,0.869,13.279,5.774,0.894,0.861,8.906,5.613,6.678,2.051,2.844,2.489,22.211,29.882,0.362,8.087,10.595,0.527,3.605,1.449,0.157,0.005,0.0,-0.034,22.472,0.33,1.59%,ORCL,68389X10
12142,10104,2020-05-31,2020-11-30,2021-02-28,21.949,0.046,13.009,18.591,18.974,19.489,19.489,4.82,13.598,0.285,0.263,0.455,0.381,0.84,0.317,0.341,0.169,0.808,0.198,0.158,0.808,0.173,0.808,0.446,0.299,0.304,0.146,0.845,0.899,0.852,0.036,0.033,0.385,0.005,0.107,0.617,3.748,0.06,0.188,0.649,0.982,0.765,0.128,0.869,13.279,5.774,0.894,0.861,8.906,5.613,6.678,2.051,2.844,2.489,22.211,29.882,0.362,8.087,10.595,0.527,3.605,1.449,0.157,0.005,0.0,-0.034,23.989,0.352,1.49%,ORCL,68389X10
12142,10104,2020-05-31,2020-11-30,2021-03-31,23.384,0.046,13.009,20.222,20.638,21.199,21.199,5.135,14.487,0.285,0.263,0.455,0.381,0.84,0.317,0.341,0.169,0.808,0.198,0.158,0.808,0.173,0.808,0.446,0.299,0.304,0.146,0.845,0.899,0.852,0.036,0.033,0.385,0.005,0.107,0.617,3.748,0.06,0.188,0.649,0.982,0.765,0.128,0.869,13.279,5.774,0.894,0.861,8.906,5.613,6.678,2.051,2.844,2.489,22.211,29.882,0.362,8.087,10.595,0.527,3.605,1.449,0.157,0.005,0.0,-0.034,25.557,0.383,1.37%,ORCL,68389X10
12142,10104,2020-05-31,2021-02-28,2021-04-30,24.688,0.09,13.396,21.053,21.531,18.132,18.132,5.506,14.908,0.225,0.323,0.46,0.388,0.843,0.32,0.4,0.168,1.173,0.197,0.158,1.174,0.206,1.174,0.446,0.292,0.293,0.125,0.866,0.928,0.874,0.036,0.033,0.384,0.004,0.104,0.622,3.893,0.067,0.186,0.638,0.943,0.756,0.128,0.874,14.81,5.734,0.91,0.882,10.838,6.395,6.47,2.061,2.679,2.477,18.56,29.469,0.347,7.952,10.595,0.518,4.136,1.386,0.158,0.005,0.0,-0.017,13.015,0.197,1.69%,ORCL,68389X10
12142,10104,2020-05-31,2021-02-28,2021-05-31,25.649,0.09,13.396,21.872,22.369,18.837,18.837,5.72,15.489,0.225,0.323,0.46,0.388,0.843,0.32,0.4,0.168,1.173,0.197,0.158,1.174,0.206,1.174,0.446,0.292,0.293,0.125,0.866,0.928,0.874,0.036,0.033,0.384,0.004,0.104,0.622,3.893,0.067,0.186,0.638,0.943,0.756,0.128,0.874,14.81,5.734,0.91,0.882,10.838,6.395,6.47,2.061,2.679,2.477,18.56,29.469,0.347,7.952,10.595,0.518,4.136,1.386,0.158,0.005,0.0,-0.017,13.521,0.205,1.63%,ORCL,68389X10
12142,10104,2020-05-31,2021-02-28,2021-06-30,24.551,0.09,13.396,21.622,22.114,18.622,18.622,5.476,14.826,0.225,0.323,0.46,0.388,0.843,0.32,0.4,0.168,1.173,0.197,0.158,1.174,0.206,1.174,0.446,0.292,0.293,0.125,0.866,0.928,0.874,0.036,0.033,0.384,0.004,0.104,0.622,3.893,0.067,0.186,0.638,0.943,0.756,0.128,0.874,14.81,5.734,0.91,0.882,10.838,6.395,6.47,2.061,2.679,2.477,18.56,29.469,0.347,7.952,10.595,0.518,4.136,1.386,0.158,0.005,0.0,-0.017,12.942,0.202,1.64%,ORCL,68389X10
12142,10104,2021-05-31,2021-05-31,2021-07-31,25.278,0.059,16.624,21.785,22.344,19.152,19.152,6.01,15.314,0.223,0.34,0.459,0.387,0.844,0.326,0.416,0.151,1.09,0.176,-0.057,1.588,0.197,1.588,0.372,0.249,0.261,0.062,0.929,1.035,0.937,0.034,0.031,0.372,0.003,0.112,0.664,4.688,0.102,0.193,0.624,0.768,0.657,0.127,0.866,12.971,5.962,0.955,0.944,23.894,6.507,6.269,1.927,2.294,2.3,26.795,35.796,0.328,6.458,9.043,0.482,7.728,1.289,0.161,0.005,0.0,-0.017,18.569,0.204,1.47%,ORCL,68389X10
12142,10104,2021-05-31,2021-05-31,2021-08-31,25.855,0.059,16.624,22.283,22.854,19.589,19.589,6.148,15.664,0.223,0.34,0.459,0.387,0.844,0.326,0.416,0.151,1.09,0.176,-0.057,1.588,0.197,1.588,0.372,0.249,0.261,0.062,0.929,1.035,0.937,0.034,0.031,0.372,0.003,0.112,0.664,4.688,0.102,0.193,0.624,0.768,0.657,0.127,0.866,12.971,5.962,0.955,0.944,23.894,6.507,6.269,1.927,2.294,2.3,26.795,35.796,0.328,6.458,9.043,0.482,7.728,1.289,0.161,0.005,0.0,-0.017,18.993,0.209,1.44%,ORCL,68389X10
12142,10104,2021-05-31,2021-05-31,2021-09-30,24.747,0.059,16.624,21.783,22.341,19.149,19.149,5.884,14.993,0.223,0.34,0.459,0.387,0.844,0.326,0.416,0.151,1.09,0.176,-0.057,1.588,0.197,1.588,0.372,0.249,0.261,0.062,0.929,1.035,0.937,0.034,0.031,0.372,0.003,0.112,0.664,4.688,0.102,0.193,0.624,0.768,0.657,0.127,0.866,12.971,5.962,0.955,0.944,23.894,6.507,6.269,1.927,2.294,2.3,26.795,35.796,0.328,6.458,9.043,0.482,7.728,1.289,0.161,0.005,0.0,-0.017,18.179,0.204,1.47%,ORCL,68389X10
12142,10104,2021-05-31,2021-08-31,2021-10-31,28.072,0.059,15.146,23.174,23.806,20.369,20.369,6.422,17.114,0.231,0.342,0.458,0.385,0.842,0.325,0.419,0.158,1.18,0.191,-0.057,1.769,0.207,1.769,0.448,0.28,0.285,0.067,0.924,1.018,0.932,0.037,0.033,0.349,0.003,0.102,0.643,4.142,0.093,0.194,0.612,0.842,0.69,0.127,0.82,14.953,5.577,0.952,0.938,22.379,6.393,6.08,1.805,2.496,2.169,9.257,45.373,0.339,8.272,9.043,0.537,7.963,1.573,0.162,0.005,0.0,-0.012,20.018,0.209,1.33%,ORCL,68389X10
12142,10104,2021-05-31,2021-08-31,2021-11-30,26.551,0.059,15.146,21.918,22.516,19.265,19.265,6.074,16.186,0.231,0.342,0.458,0.385,0.842,0.325,0.419,0.158,1.18,0.191,-0.057,1.769,0.207,1.769,0.448,0.28,0.285,0.067,0.924,1.018,0.932,0.037,0.033,0.349,0.003,0.102,0.643,4.142,0.093,0.194,0.612,0.842,0.69,0.127,0.82,14.953,5.577,0.952,0.938,22.379,6.393,6.08,1.805,2.496,2.169,9.257,45.373,0.339,8.272,9.043,0.537,7.963,1.573,0.162,0.005,0.0,-0.012,18.933,0.197,1.41%,ORCL,68389X10
12142,10104,2021-05-31,2021-08-31,2021-12-31,24.927,0.059,15.146,21.065,21.64,18.516,18.516,5.702,15.197,0.231,0.342,0.458,0.385,0.842,0.325,0.419,0.158,1.18,0.191,-0.057,1.769,0.207,1.769,0.448,0.28,0.285,0.067,0.924,1.018,0.932,0.037,0.033,0.349,0.003,0.102,0.643,4.142,0.093,0.194,0.612,0.842,0.69,0.127,0.82,14.953,5.577,0.952,0.938,22.379,6.393,6.08,1.805,2.496,2.169,9.257,45.373,0.339,8.272,9.043,0.537,7.963,1.573,0.162,0.005,0.0,-0.012,17.775,0.19,1.47%,ORCL,68389X10
12141,10107,2020-06-30,2020-09-30,2021-01-31,64.326,0.078,21.37,37.656,38.089,37.473,37.473,11.892,26.431,0.326,0.323,0.466,0.382,0.768,0.384,0.408,0.239,0.422,0.285,0.165,0.423,0.262,0.423,0.354,0.254,0.386,0.602,0.398,0.435,0.398,0.033,0.03,0.776,0.012,0.145,0.287,1.226,0.086,0.37,0.437,1.053,1.016,0.332,0.744,3.378,0.659,0.602,0.449,1.51,19.707,22.115,2.096,2.641,2.672,,16.96,0.503,5.821,3.182,0.76,1.262,1.35,0.133,0.011,0.0,-0.064,14.157,1.037,.966%,MSFT,59491810
12141,10107,2020-06-30,2020-12-31,2021-02-28,60.069,0.078,21.955,35.316,35.641,34.632,34.632,11.434,25.764,0.308,0.335,0.471,0.392,0.762,0.396,0.413,0.247,0.439,0.3,0.165,0.44,0.278,0.44,0.373,0.266,0.392,0.616,0.384,0.42,0.384,0.032,0.03,0.771,0.012,0.149,0.279,1.15,0.086,0.381,0.43,1.075,1.013,0.332,0.741,3.184,0.623,0.592,0.438,1.45,21.917,24.523,2.026,2.589,2.619,,17.866,0.514,5.846,3.11,0.776,1.26,1.41,0.13,0.011,0.0,-0.057,13.44,0.537,.964%,MSFT,59491810
12141,10107,2020-06-30,2020-12-31,2021-03-31,60.879,0.078,21.955,35.831,36.161,35.137,35.137,11.588,26.111,0.308,0.335,0.471,0.392,0.762,0.396,0.413,0.247,0.439,0.3,0.165,0.44,0.278,0.44,0.373,0.266,0.392,0.616,0.384,0.42,0.384,0.032,0.03,0.771,0.012,0.149,0.279,1.15,0.086,0.381,0.43,1.075,1.013,0.332,0.741,3.184,0.623,0.592,0.438,1.45,21.917,24.523,2.026,2.589,2.619,,17.866,0.514,5.846,3.11,0.776,1.26,1.41,0.13,0.011,0.0,-0.057,13.621,0.544,.950%,MSFT,59491810
12141,10107,2020-06-30,2020-12-31,2021-04-30,65.096,0.078,21.955,38.325,38.678,37.583,37.583,12.391,27.92,0.308,0.335,0.471,0.392,0.762,0.396,0.413,0.247,0.439,0.3,0.165,0.44,0.278,0.44,0.373,0.266,0.392,0.616,0.384,0.42,0.384,0.032,0.03,0.771,0.012,0.149,0.279,1.15,0.086,0.381,0.43,1.075,1.013,0.332,0.741,3.184,0.623,0.592,0.438,1.45,21.917,24.523,2.026,2.589,2.619,,17.866,0.514,5.846,3.11,0.776,1.26,1.41,0.13,0.011,0.0,-0.057,14.564,0.582,.888%,MSFT,59491810
12141,10107,2020-06-30,2021-03-31,2021-05-31,59.785,0.076,22.727,35.266,35.618,34.016,34.016,11.755,25.865,0.289,0.35,0.476,0.402,0.758,0.407,0.424,0.255,0.46,0.314,0.165,0.461,0.296,0.461,0.391,0.278,0.399,0.631,0.369,0.41,0.369,0.033,0.03,0.75,0.013,0.155,0.271,1.082,0.101,0.398,0.418,1.079,1.031,0.332,0.74,2.984,0.584,0.583,0.429,1.4,23.706,26.035,1.886,2.446,2.477,,17.669,0.527,5.898,3.072,0.797,1.263,1.536,0.127,0.011,0.0,-0.056,13.963,0.572,.897%,MSFT,59491810
12141,10107,2020-06-30,2021-03-31,2021-06-30,64.758,0.076,22.727,38.263,38.645,36.907,36.907,12.733,28.017,0.289,0.35,0.476,0.402,0.758,0.407,0.424,0.255,0.46,0.314,0.165,0.461,0.296,0.461,0.391,0.278,0.399,0.631,0.369,0.41,0.369,0.033,0.03,0.75,0.013,0.155,0.271,1.082,0.101,0.398,0.418,1.079,1.031,0.332,0.74,2.984,0.584,0.583,0.429,1.4,23.706,26.035,1.886,2.446,2.477,,17.669,0.527,5.898,3.072,0.797,1.263,1.536,0.127,0.011,0.0,-0.056,15.124,0.62,.827%,MSFT,59491810
12141,10107,2020-06-30,2021-03-31,2021-07-31,68.07,0.076,22.727,40.242,40.643,38.816,38.816,13.384,29.45,0.289,0.35,0.476,0.402,0.758,0.407,0.424,0.255,0.46,0.314,0.165,0.461,0.296,0.461,0.391,0.278,0.399,0.631,0.369,0.41,0.369,0.033,0.03,0.75,0.013,0.155,0.271,1.082,0.101,0.398,0.418,1.079,1.031,0.332,0.74,2.984,0.584,0.583,0.429,1.4,23.706,26.035,1.886,2.446,2.477,,17.669,0.527,5.898,3.072,0.797,1.263,1.536,0.127,0.011,0.0,-0.056,15.898,0.653,.786%,MSFT,59491810
12141,10107,2021-06-30,2021-06-30,2021-08-31,62.13,0.07,26.222,39.003,39.359,37.501,37.501,13.496,29.562,0.275,0.365,0.481,0.416,0.754,0.423,0.434,0.255,0.47,0.329,0.138,0.471,0.327,0.471,0.425,0.285,0.38,0.665,0.335,0.385,0.335,0.032,0.028,0.68,0.014,0.206,0.247,1.018,0.132,0.462,0.373,0.912,0.866,0.4,0.731,2.709,0.503,0.575,0.407,1.351,27.297,30.007,1.47,2.05,2.08,,18.244,0.529,4.799,3.039,0.788,1.184,1.756,0.123,0.009,0.0,-0.049,15.955,0.589,.742%,MSFT,59491810
12141,10107,2021-06-30,2021-06-30,2021-09-30,57.968,0.07,26.222,36.424,36.756,35.021,35.021,12.592,27.582,0.275,0.365,0.481,0.416,0.754,0.423,0.434,0.255,0.47,0.329,0.138,0.471,0.327,0.471,0.425,0.285,0.38,0.665,0.335,0.385,0.335,0.032,0.028,0.68,0.014,0.206,0.247,1.018,0.132,0.462,0.373,0.912,0.866,0.4,0.731,2.709,0.503,0.575,0.407,1.351,27.297,30.007,1.47,2.05,2.08,,18.244,0.529,4.799,3.039,0.788,1.184,1.756,0.123,0.009,0.0,-0.049,14.886,0.55,.795%,MSFT,59491810
12141,10107,2021-06-30,2021-06-30,2021-10-31,68.189,0.07,26.222,42.845,43.236,41.195,41.195,14.812,32.445,0.275,0.365,0.481,0.416,0.754,0.423,0.434,0.255,0.47,0.329,0.138,0.471,0.327,0.471,0.425,0.285,0.38,0.665,0.335,0.385,0.335,0.032,0.028,0.68,0.014,0.206,0.247,1.018,0.132,0.462,0.373,0.912,0.866,0.4,0.731,2.709,0.503,0.575,0.407,1.351,27.297,30.007,1.47,2.05,2.08,,18.244,0.529,4.799,3.039,0.788,1.184,1.756,0.123,0.009,0.0,-0.049,17.511,0.647,.675%,MSFT,59491810
12141,10107,2021-06-30,2021-09-30,2021-11-30,68.577,0.072,22.923,39.878,40.267,36.979,36.979,14.083,30.289,0.249,0.385,0.491,0.421,0.758,0.428,0.455,0.277,0.512,0.346,0.138,0.512,0.341,0.512,0.451,0.311,0.417,0.659,0.341,0.383,0.341,0.031,0.028,0.716,0.015,0.17,0.254,0.94,0.11,0.427,0.4,1.121,1.061,0.4,0.737,2.642,0.518,0.564,0.406,1.295,30.773,32.578,1.678,2.228,2.261,,16.689,0.55,5.923,3.085,0.831,1.262,1.81,0.121,0.009,0.0,-0.044,16.309,0.612,.750%,MSFT,59491810
12141,10107,2021-06-30,2021-09-30,2021-12-31,69.766,0.072,22.923,40.569,40.965,37.62,37.62,14.327,30.814,0.249,0.385,0.491,0.421,0.758,0.428,0.455,0.277,0.512,0.346,0.138,0.512,0.341,0.512,0.451,0.311,0.417,0.659,0.341,0.383,0.341,0.031,0.028,0.716,0.015,0.17,0.254,0.94,0.11,0.427,0.4,1.121,1.061,0.4,0.737,2.642,0.518,0.564,0.406,1.295,30.773,32.578,1.678,2.228,2.261,,16.689,0.55,5.923,3.085,0.831,1.262,1.81,0.121,0.009,0.0,-0.044,16.592,0.622,.737%,MSFT,59491810
12138,10138,2019-12-31,2020-09-30,2021-01-31,21.868,0.246,10.201,17.387,17.582,17.582,17.582,6.003,18.398,0.395,0.359,0.467,0.432,0.467,0.479,0.402,0.301,0.315,0.357,0.232,0.315,0.315,0.315,,,0.295,0.841,0.02,0.017,0.024,0.0,0.0,1.423,,,0.016,0.057,0.0,,0.117,,,1.375,0.891,1.743,0.024,0.15,0.05,0.206,,,,,,217.306,1.828,0.633,9.024,14.551,0.729,0.867,,0.0,0.017,0.351,0.021,5.004,1.304,2.30%,TROW,74144T10
12138,10138,2020-12-31,2020-12-31,2021-02-28,20.41,0.223,12.342,16.085,16.246,16.246,16.246,5.955,19.261,0.367,0.382,0.473,0.442,0.473,0.522,0.437,0.294,0.32,0.363,0.222,0.32,0.348,0.32,,,0.275,0.818,0.016,0.016,0.02,0.0,0.0,1.623,,,0.014,0.052,0.0,,0.111,,,1.38,0.888,1.71,0.02,0.13,0.042,0.18,,,,,,277.413,1.438,0.621,7.924,19.357,0.659,0.805,,0.0,0.013,0.352,0.045,4.796,0.868,2.22%,TROW,74144T10
