permno,adate,qdate,public_date,bm,evm,pe_op_basic,pe_op_dil,pe_exi,ps,pcf,dpr,npm,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,inv_turn,at_turn,rect_turn,pay_turn,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER
10104,2021-05-31,2021-11-30,2022-01-31,0.059,15.991,19.278,19.844,23.322,5.235,21.134,0.328,0.248,0.385,0.841,0.213,0.325,0.157,0.814,0.193,-0.057,2.001,0.16,2.001,0.474,0.291,0.008,0.984,1.073,0.991,0.037,0.034,0.305,0.003,0.111,0.663,4.186,0.083,0.182,0.614,0.878,0.475,0.127,0.696,14.772,4.868,0.99,0.992,189.998,4.849,5.986,46.401,0.346,8.369,9.043,66.345,1.817,0.164,0.005,0.0,0.0,16.542,0.306,1.58%,ORCL
10104,2021-05-31,2021-11-30,2022-02-28,0.059,15.991,18.045,18.575,21.83,4.9,19.783,0.328,0.248,0.385,0.841,0.213,0.325,0.157,0.814,0.193,-0.057,2.001,0.16,2.001,0.474,0.291,0.008,0.984,1.073,0.991,0.037,0.034,0.305,0.003,0.111,0.663,4.186,0.083,0.182,0.614,0.878,0.475,0.127,0.696,14.772,4.868,0.99,0.992,189.998,4.849,5.986,46.401,0.346,8.369,9.043,66.345,1.817,0.164,0.005,0.0,0.0,15.484,0.287,1.68%,ORCL
10104,2021-05-31,2021-11-30,2022-03-31,0.059,15.991,19.651,20.227,23.773,5.332,21.525,0.328,0.248,0.385,0.841,0.213,0.325,0.157,0.814,0.193,-0.057,2.001,0.16,2.001,0.474,0.291,0.008,0.984,1.073,0.991,0.037,0.034,0.305,0.003,0.111,0.663,4.186,0.083,0.182,0.614,0.878,0.475,0.127,0.696,14.772,4.868,0.99,0.992,189.998,4.849,5.986,46.401,0.346,8.369,9.043,66.345,1.817,0.164,0.005,0.0,0.0,16.848,0.312,1.55%,ORCL
10104,2021-05-31,2022-02-28,2022-04-30,0.059,16.372,17.729,18.304,27.909,4.682,18.838,0.466,0.181,0.379,0.838,0.2,0.258,0.158,0.506,0.198,-0.057,12.115,0.129,12.115,0.515,0.299,-0.053,1.046,1.139,1.053,0.037,0.034,0.274,0.003,0.119,0.696,4.32,0.082,0.18,0.621,0.869,0.478,0.127,0.634,14.238,5.718,1.028,1.048,-31.962,3.751,5.77,47.768,0.356,8.476,9.043,7.728,2.132,0.167,0.005,0.0,-0.024,14.948,7.394,1.74%,ORCL
10104,2021-05-31,2022-02-28,2022-05-31,0.059,16.372,17.372,17.935,27.346,4.588,18.458,0.466,0.181,0.379,0.838,0.2,0.258,0.158,0.506,0.198,-0.057,12.115,0.129,12.115,0.515,0.299,-0.053,1.046,1.139,1.053,0.037,0.034,0.274,0.003,0.119,0.696,4.32,0.082,0.18,0.621,0.869,0.478,0.127,0.634,14.238,5.718,1.028,1.048,-31.962,3.751,5.77,47.768,0.356,8.476,9.043,7.728,2.132,0.167,0.005,0.0,-0.024,14.646,7.245,1.78%,ORCL
10104,2021-05-31,2022-02-28,2022-06-30,0.059,16.372,16.877,17.424,26.567,4.452,17.911,0.466,0.181,0.379,0.838,0.2,0.258,0.158,0.506,0.198,-0.057,12.115,0.129,12.115,0.515,0.299,-0.053,1.046,1.139,1.053,0.037,0.034,0.274,0.003,0.119,0.696,4.32,0.082,0.18,0.621,0.869,0.478,0.127,0.634,14.238,5.718,1.028,1.048,-31.962,3.751,5.77,47.768,0.356,8.476,9.043,7.728,2.132,0.167,0.005,0.0,-0.024,14.211,7.038,1.83%,ORCL
10104,2022-05-31,2022-05-31,2022-07-31,,14.312,19.857,20.484,32.299,4.888,21.746,0.515,0.158,0.373,0.837,0.185,0.236,0.158,,0.191,0.119,-13.68,0.105,-13.68,0.477,0.325,-0.09,1.083,1.148,1.09,0.036,0.033,0.19,0.01,0.213,0.728,4.197,0.056,0.17,0.652,0.971,0.489,0.083,0.527,8.706,,1.053,1.083,-18.499,3.438,5.744,30.285,0.353,6.554,6.864,,3.501,0.17,0.006,0.0,-0.023,,22.032,1.64%,ORCL
10104,2022-05-31,2022-05-31,2022-08-31,,14.312,18.916,19.513,30.768,4.656,20.715,0.515,0.158,0.373,0.837,0.185,0.236,0.158,,0.191,0.119,-13.68,0.105,-13.68,0.477,0.325,-0.09,1.083,1.148,1.09,0.036,0.033,0.19,0.01,0.213,0.728,4.197,0.056,0.17,0.652,0.971,0.489,0.083,0.527,8.706,,1.053,1.083,-18.499,3.438,5.744,30.285,0.353,6.554,6.864,,3.501,0.17,0.006,0.0,-0.023,,20.987,1.73%,ORCL
10104,2022-05-31,2022-05-31,2022-09-30,,14.312,15.579,16.071,25.34,3.879,17.258,0.515,0.158,0.373,0.837,0.185,0.236,0.158,,0.191,0.119,-13.68,0.105,-13.68,0.477,0.325,-0.09,1.083,1.148,1.09,0.036,0.033,0.19,0.01,0.213,0.728,4.197,0.056,0.17,0.652,0.971,0.489,0.083,0.527,8.706,,1.053,1.083,-18.499,3.438,5.744,30.285,0.353,6.554,6.864,,3.501,0.17,0.006,0.0,-0.023,,17.285,2.10%,ORCL
10104,2022-05-31,2022-08-31,2022-10-31,,15.355,21.448,21.868,37.176,4.766,19.963,0.591,0.132,0.343,0.825,0.154,0.222,0.169,,0.207,0.119,-0.875,0.118,-0.875,0.626,0.32,-0.116,1.109,1.228,1.116,0.038,0.035,0.164,0.011,0.188,0.721,4.324,0.097,0.194,0.612,0.806,0.448,0.083,0.51,11.493,,1.064,1.102,-15.675,3.047,5.333,24.669,0.388,8.128,6.864,,8.275,0.173,0.006,0.0,-0.041,,,1.64%,ORCL
